Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,fullName,age_group
Kylian Mbappé,20,https://cdn.sofifa.com/players/231/747/20_60.png,France,https://cdn.sofifa.com/flags/fr.png,89,95,Paris Saint-Germain,https://cdn.sofifa.com/teams/73/light_30.png,€93.5M,€150K,Kylian Mbappé,Age: 20-25
Jadon Sancho,19,https://cdn.sofifa.com/players/233/049/20_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,86,94,Borussia Dortmund,https://cdn.sofifa.com/teams/22/light_30.png,€63.5M,€72K,Jadon Sancho,Below 20 years
Lionel Messi,32,https://cdn.sofifa.com/players/158/023/20_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,94,94,FC Barcelona,https://cdn.sofifa.com/teams/241/light_30.png,€95.5M,€560K,Lionel Messi,Age: 30-35
C. Ronaldo,34,https://cdn.sofifa.com/players/020/801/20_60.png,Portugal,https://cdn.sofifa.com/flags/pt.png,93,93,Juventus,https://cdn.sofifa.com/teams/45/light_30.png,€58.5M,€410K,C. Ronaldo dos Santos Aveiro,Age: 30-35
Marc-André ter,27,https://cdn.sofifa.com/players/192/448/20_60.png,Germany,https://cdn.sofifa.com/flags/de.png,90,93,FC Barcelona,https://cdn.sofifa.com/teams/241/light_30.png,€67.5M,€250K,Marc-André ter Stegen,Age: 25-30
Jan Oblak,26,https://cdn.sofifa.com/players/200/389/20_60.png,Slovenia,https://cdn.sofifa.com/flags/si.png,91,93,Atlético Madrid,https://cdn.sofifa.com/teams/240/light_30.png,€77.5M,€125K,Jan Oblak,Age: 25-30
João Félix,19,https://cdn.sofifa.com/players/242/444/20_60.png,Portugal,https://cdn.sofifa.com/flags/pt.png,80,93,Atlético Madrid,https://cdn.sofifa.com/teams/240/light_30.png,€28M,€38K,João Félix Sequeira,Below 20 years
Kai Havertz,20,https://cdn.sofifa.com/players/235/790/20_60.png,Germany,https://cdn.sofifa.com/flags/de.png,84,93,Bayer 04 Leverkusen,https://cdn.sofifa.com/teams/32/light_30.png,€48.5M,€70K,Kai Havertz,Age: 20-25
Neymar da,27,https://cdn.sofifa.com/players/190/871/20_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,92,92,Paris Saint-Germain,https://cdn.sofifa.com/teams/73/light_30.png,€105.5M,€290K,Neymar da Silva Santos Jr.,Age: 25-30
Matthijs de,19,https://cdn.sofifa.com/players/235/243/20_60.png,Netherlands,https://cdn.sofifa.com/flags/nl.png,85,92,Juventus,https://cdn.sofifa.com/teams/45/light_30.png,€47.5M,€76K,Matthijs de Ligt,Below 20 years
Gianluigi Donnarumma,20,https://cdn.sofifa.com/players/230/621/20_60.png,Italy,https://cdn.sofifa.com/flags/it.png,85,92,Milan,https://cdn.sofifa.com/teams/47/light_30.png,€41.5M,€34K,Gianluigi Donnarumma,Age: 20-25
Frenkie de,22,https://cdn.sofifa.com/players/228/702/20_60.png,Netherlands,https://cdn.sofifa.com/flags/nl.png,86,92,FC Barcelona,https://cdn.sofifa.com/teams/241/light_30.png,€60M,€210K,Frenkie de Jong,Age: 20-25
Vinícius José,18,https://cdn.sofifa.com/players/238/794/20_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,79,92,Real Madrid,https://cdn.sofifa.com/teams/243/light_30.png,€22.5M,€60K,Vinícius José de Oliveira Júnior,Below 20 years
Virgil van,27,https://cdn.sofifa.com/players/203/376/20_60.png,Netherlands,https://cdn.sofifa.com/flags/nl.png,91,92,Liverpool,https://cdn.sofifa.com/teams/9/light_30.png,€90M,€240K,Virgil van Dijk,Age: 25-30
Rodrygo Silva,18,https://cdn.sofifa.com/players/243/812/20_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,78,91,Real Madrid,https://cdn.sofifa.com/teams/243/light_30.png,€18.5M,€54K,Rodrygo Silva de Goes,Below 20 years
Kevin De,28,https://cdn.sofifa.com/players/192/985/20_60.png,Belgium,https://cdn.sofifa.com/flags/be.png,91,91,Manchester City,https://cdn.sofifa.com/teams/10/light_30.png,€90M,€370K,Kevin De Bruyne,Age: 25-30
Harry Kane,25,https://cdn.sofifa.com/players/202/126/20_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,89,91,Tottenham Hotspur,https://cdn.sofifa.com/teams/18/light_30.png,€83M,€220K,Harry Kane,Age: 25-30
Eden Hazard,28,https://cdn.sofifa.com/players/183/277/20_60.png,Belgium,https://cdn.sofifa.com/flags/be.png,91,91,Real Madrid,https://cdn.sofifa.com/teams/243/light_30.png,€90M,€470K,Eden Hazard,Age: 25-30
Alisson Ramses,26,https://cdn.sofifa.com/players/212/831/20_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,90,91,Liverpool,https://cdn.sofifa.com/teams/9/light_30.png,€64.5M,€160K,Alisson Ramses Becker,Age: 25-30
Sandro Tonali,19,https://cdn.sofifa.com/players/241/096/20_60.png,Italy,https://cdn.sofifa.com/flags/it.png,77,91,Brescia,https://cdn.sofifa.com/teams/190/light_30.png,€18M,€8K,Sandro Tonali,Below 20 years
Lautaro Martínez,21,https://cdn.sofifa.com/players/231/478/20_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,84,91,Inter,https://cdn.sofifa.com/teams/44/light_30.png,€44.5M,€79K,Lautaro Martínez,Age: 20-25
Robert Lewandowski,30,https://cdn.sofifa.com/players/188/545/20_60.png,Poland,https://cdn.sofifa.com/flags/pl.png,91,91,FC Bayern München,https://cdn.sofifa.com/teams/21/light_30.png,€86M,€300K,Robert Lewandowski,Age: 30-35
Ederson Santana,25,https://cdn.sofifa.com/players/210/257/20_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,88,91,Manchester City,https://cdn.sofifa.com/teams/10/light_30.png,€54.5M,€185K,Ederson Santana de Moraes,Age: 25-30
Paulo Dybala,25,https://cdn.sofifa.com/players/211/110/20_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,87,90,Juventus,https://cdn.sofifa.com/teams/45/light_30.png,€64.5M,€195K,Paulo Dybala,Age: 25-30
Erling Braut,18,https://cdn.sofifa.com/players/239/085/20_60.png,Norway,https://cdn.sofifa.com/flags/no.png,80,90,Borussia Dortmund,https://cdn.sofifa.com/teams/22/light_30.png,€22.5M,€34K,Erling Braut Haaland,Below 20 years
Bernardo Mota,24,https://cdn.sofifa.com/players/218/667/20_60.png,Portugal,https://cdn.sofifa.com/flags/pt.png,87,90,Manchester City,https://cdn.sofifa.com/teams/10/light_30.png,€64M,€210K,Bernardo Mota Carvalho e Silva,Age: 20-25
Reinier Jesus,17,https://cdn.sofifa.com/players/254/544/20_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,72,90,Real Madrid,https://cdn.sofifa.com/teams/243/light_30.png,€6M,€17K,Reinier Jesus Carvalho,Below 20 years
Trent Alexander-Arnold,20,https://cdn.sofifa.com/players/231/281/20_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,85,90,Liverpool,https://cdn.sofifa.com/teams/9/light_30.png,€46M,€93K,Trent Alexander-Arnold,Age: 20-25
